class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
c,-0.980580675691,-0.196116135138,108.00462953,0.785398163397,78.6447709641,-0.203446456819,0.979086073442,166.365380125,-3.46334320799,5.03413953478,4.31002965865,1.0,438.0
c,-0.287347885566,0.957826285221,140.470637501,0.785398163397,96.1769203084,0.155962573473,0.987762965329,278.657477284,-3.92699081699,5.49778714378,4.31795192548,1.0,735.0
c,-0.164398987305,0.986393923832,117.991525119,0.785398163397,70.0642562224,-0.0428178383922,0.999082895818,230.361680385,-3.92699081699,8.63937979737,6.78535302575,0.0,782.0
c,-0.14834045293,0.988936352868,91.2414379545,0.785398163397,56.2227711875,0.0889319379745,0.996037705314,179.897486639,-3.92699081699,5.49778714378,4.31795192548,0.0,688.0
d,-0.099503719021,0.99503719021,136.124942608,1.10714871779,124.903963108,-0.120092266304,0.992762734783,234.509890955,-5.49778714378,7.06858347058,5.55165247561,3.0,719.0
d,0.196116135138,0.980580675691,132.400906341,1.10714871779,98.2496819333,0.0712470499879,0.997458699831,246.383869135,-3.92699081699,7.06858347058,5.55165247561,1.0,750.0
d,0.164398987305,0.986393923832,86.5390085453,1.10714871779,71.1125867902,-0.056248832739,0.998416781117,178.786492507,-2.4980915448,6.92668641597,6.15265821703,0.0,703.0
d,0.0,1.0,87.2353139503,1.10714871779,71.2530701093,-0.0842068979034,0.996448291857,166.260628465,-1.2490457724,3.46334320799,3.07632910852,1.0,687.0
d,-0.0766964988847,0.997054485502,108.300507847,0.785398163397,85.9883713068,-0.151183233296,0.988505756164,242.390346858,-5.49778714378,11.780972451,10.1880969257,1.0,656.0
d,0.0,1.0,95.5091618642,1.2490457724,85.0529246999,-0.0352721556676,0.999377743916,177.255046911,2.35619449019,3.92699081699,3.08425137534,1.0,640.0
d,0.0,1.0,105.118980208,1.10714871779,80.5046582503,-0.111794773068,0.993731316159,209.472958585,-3.92699081699,7.06858347058,5.55165247561,1.0,672.0
d,0.0,1.0,88.7693640847,1.10714871779,74.0607858451,-0.0405072666427,0.999179243854,175.842864907,0.0,6.28318530718,4.93480220054,1.0,640.0
d,0.0,1.0,90.2496537389,1.10714871779,76.026311235,-0.0263066820882,0.999653919353,213.391037515,-2.81984209919,6.60493586158,5.54373020879,1.0,672.0
d,0.0,1.0,96.7729300993,1.10714871779,76.026311235,0.0263066820882,0.999653919353,194.957184972,0.0,1.57079632679,1.23370055014,0.0,671.0
d,-0.164398987305,0.986393923832,96.5660395791,1.2490457724,85.0058821494,-0.0117638918004,0.999930803031,173.454984371,0.321750554397,5.03413953478,4.31002965865,1.0,781.0
d,0.0,1.0,119.854077945,1.2490457724,105.0428484,-0.0285597738989,0.999592086461,231.346140762,-1.57079632679,1.57079632679,1.23370055014,1.0,719.0
d,0.0,1.0,103.817146946,1.10714871779,89.0056178002,0.0112352458723,0.999936882633,213.432655789,0.0,3.14159265359,2.46740110027,1.0,672.0
d,0.316227766017,0.948683298051,85.422479477,0.785398163397,47.6759897642,0.167799348048,0.985821169784,193.096393794,-3.92699081699,3.92699081699,3.08425137534,0.0,704.0
d,0.0,1.0,101.592322545,1.10714871779,83.0060238778,-0.0120473184148,0.999927428426,197.297043537,-0.785398163397,5.49778714378,4.31795192548,1.0,750.0
d,0.0,1.0,104.651803616,1.10714871779,84.2911620515,-0.0830454798537,0.996545758245,210.163833957,-0.785398163397,2.35619449019,1.8505508252,1.0,922.0
d,0.0905357460425,0.995893206468,76.8960337079,1.10714871779,70.256672281,-0.0854011413464,0.996346649042,131.297522821,-4.39063842599,12.8881211688,10.4785324093,1.0,672.0
d,-0.4472135955,-0.894427191,196.77398202,1.10714871779,58.2494635168,0.978549784987,0.20601048105,513.375272312,-3.14159265359,4.71238898038,3.70110165041,6.0,984.0
d,-0.980580675691,-0.196116135138,134.718224454,0.785398163397,55.9016994375,0.73343029662,0.67976466516,348.23557599,2.35619449019,7.06858347058,5.55165247561,1.0,782.0
d,-0.868243142124,-0.496138938357,138.654246239,1.10714871779,52.3545604508,0.47751332042,0.878624509573,364.232061,-6.28318530718,9.42477796077,7.40220330082,1.0,1078.0
e,1.0,0.0,85.4751425854,0.785398163397,52.3259018078,0.707106781187,0.707106781187,176.780886248,0.0,1.57079632679,1.23370055014,0.0,500.0
e,0.993883734674,-0.110431526075,84.8115558164,0.785398163397,54.4058820349,0.808736084303,0.588171697675,194.116305091,-0.463647609001,2.67794504459,2.45947883345,0.0,578.0
e,0.871575537125,0.490261239633,91.0494371207,0.785398163397,65.7343137182,0.836701516894,0.547659174694,228.982779389,-2.35619449019,3.92699081699,3.08425137534,0.0,625.0
e,1.0,0.0,111.521298414,0.785398163397,58.2580466545,0.772425485991,0.635105399593,249.924762046,-3.14159265359,3.14159265359,2.46740110027,2.0,579.0
e,0.832050294338,0.554700196225,108.724422279,0.785398163397,78.8923316933,0.507020126563,0.861934215158,225.74203974,-3.92699081699,7.06858347058,5.55165247561,1.0,609.0
e,1.0,0.0,89.4035793467,0.785398163397,71.4492827116,0.685801146497,0.727788971793,170.936201309,-1.57079632679,6.28318530718,4.93480220054,0.0,625.0
e,0.707106781187,0.707106781187,87.2353139503,1.10714871779,80.062475605,0.462139094756,0.886807452099,163.335962264,-0.283794109208,12.2825765052,11.0716158839,1.0,688.0
e,0.894427191,-0.4472135955,126.269552941,0.785398163397,81.3449445264,0.688426310031,0.725306290926,269.663797763,-2.81984209919,5.03413953478,4.31002965865,1.0,844.0
e,1.0,0.0,63.41135545,0.785398163397,34.4093010682,0.813733471207,0.581238193719,155.68817798,-0.785398163397,2.35619449019,1.8505508252,0.0,704.0
e,0.894427191,0.4472135955,61.611687203,0.785398163397,36.4005494464,0.796691270902,0.604386481374,155.916146372,-6.28318530718,9.42477796077,7.40220330082,0.0,875.0
e,1.0,0.0,116.516093309,0.785398163397,54.6443043693,0.567305236251,0.82350760101,246.044628419,-3.14159265359,6.28318530718,4.93480220054,1.0,719.0
e,0.768221279597,0.640184399664,122.613212991,0.785398163397,71.1969100453,0.491594368038,0.870824309096,252.031510933,-2.0344439358,4.24874137138,3.69317938359,1.0,578.0
e,0.986393923832,0.164398987305,93.4077084613,0.785398163397,67.6239602508,0.621081637991,0.783745876513,202.068358122,-1.57079632679,3.14159265359,2.46740110027,0.0,672.0
e,1.0,0.0,110.453610172,0.785398163397,68.2641926635,0.849640166198,0.527362861778,256.082755931,-1.57079632679,3.14159265359,2.46740110027,1.0,609.0
